station_code,country,weather_station
633330,ETH,Combolcha
633340,ETH,Debre.Marcos
633310,ETH,Gondar
637660,KEN,Makindu
638200,KEN,Mombasa-Moi
637410,KEN,Nairobi-Dagoretti
637420,KEN,Nairobi-Wilson
637930,KEN,Voi
601560,MAR,Casablanca.Nouasser
419070,BGD,Ishurdi
418590,BGD,Rangpur
539230,CHN,Gansu.Xifengzhen
450070,CHN,Hong.Kong.SAR
581440,CHN,Jiangsu.Huaiyang-Qingjiang
531920,CHN,Nei.Mongol.Abag.Qi.Hot
533520,CHN,Nei.Mongol.Bailingmiao
533520,CHN,Nei.Mongol.Bailingmiao
540270,CHN,Nei.Mongol.Bairin.Zuo.Qi
524950,CHN,Nei.Mongol.Bayan.Mod
506320,CHN,Nei.Mongol.Bugt
506320,CHN,Nei.Mongol.Bugt
542080,CHN,Nei.Mongol.Duolun
532310,CHN,Nei.Mongol.Hailisu
533360,CHN,Nei.Mongol.Haliut
535020,CHN,Nei.Mongol.Jartai
535020,CHN,Nei.Mongol.Jartai
532760,CHN,Nei.Mongol.Jurh
508340,CHN,Nei.Mongol.Solon
504340,CHN,Nei.Mongol.Tulihe
538170,CHN,Ningxia.Hui.Guyuan
537230,CHN,Ningxia.Hui.Yanchi
528360,CHN,Qinghai.Dulan.Us
561250,CHN,Qinghai.Nangqen
560040,CHN,Qinghai.Tuotuohe
560040,CHN,Qinghai.Tuotuohe
517160,CHN,Xinjiang.Uygur.Bachu
510870,CHN,Xinjiang.Uygur.Fuyun
517650,CHN,Xinjiang.Uygur.Tikanlik
515670,CHN,Xinjiang.Uygur.Yanqi
586330,CHN,Zhejiang.Quxian
430410,IND,Jagdelpur
477430,JPN,Miho.Civ.JASDF
361770,KAZ,Semipalatinsk
471050,KOR,Kangnung
405850,KWT,KISR.Coastal.Station
405820,KWT,Kuwait.Intl.AP
434000,LKA,Kankasanturai
435990,MDV,Gan.Island
435550,MDV,Male-Hulule.Island
442920,MNG,Ulaanbataar
833620,BRA,Cuiaba-Marechal.Ron
823980,BRA,Fortaleza-Pinto.Mar
854420,CHL,Antofagasta
856820,CHL,Concepcion
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
sequence item 0: expected string, NoneType found
712430,CAN,Lethbridge
718980,CAN,Prince.Rupert
711010,CAN,Sandspit
717680,CAN,Summerland
718170,CAN,Battle.Harbour
718030,CAN,Gander
716010,CAN,Shearwater
713980,CAN,Truro
719240,CAN,Resolute
715270,CAN,Simcoe
717270,CAN,Bagotville
Island,CAN,Grindstone
719060,CAN,Kuujuaq
718270,CAN,La.Grande.Riviere
714210,CAN,Lake.Eon
716270,CAN,Montreal.Intl.AP
716278,CAN,Montreal.Jean.Brebeuf
716278,CAN,Montreal.Mirabel
CAN270,CAN,Nitchequon
718280,CAN,Schefferville
785830,BLZ,Belize
783180,CUB,Bahia.Honda
783670,CUB,Guantanamo.Bay.NAS
783670,CUB,Guantanamo.Bay.NAS
783330,CUB,Playa.Giron
783690,CUB,Punta.de.Maisi
782640,CUB,Santiago.de.Cuba
786150,GTM,Flores
786410,GTM,Guatemala-La.Aurora
787140,HND,Catacamas
787240,HND,Choluteca
787050,HND,La.Ceiba-Goloson
787080,HND,La.Mesa-San.Pedro.Sula
787170,HND,Santa.Rosa.de.Copan
787060,HND,Tela
787410,NIC,Managua-Augusto.CES
786500,SLV,Acajutla
486010,MYS,George.Town
938510,NZL,Central.Otago-Lauder.OC
933730,NZL,East.Coast-Napier.EC
934200,NZL,Manawatu-Paraparaumu.MW
930120,NZL,Northland-Kaitaia.NL
938910,NZL,Otago-Dunedin.DN
938310,NZL,Queenstown.Lakes-Queenstown.QL
932470,NZL,Rotorua-Rotorua.RR
932450,NZL,Taupo.King.Country-Turangi.TP
936150,NZL,West.Coast-Hokitika.WC
912450,UMI,Wake.Island
156140,BGR,Sofia
155520,BGR,Varna
160370,ITA,Aviano
162700,ITA,Bari-Palese.Macchie
160760,ITA,Bergamo-Orio.al.Serio
165500,ITA,Capo.Bellavista
164590,ITA,Catania-Sigonella
164800,ITA,Cozzo.Spadaro
161700,ITA,Firenze-Peretola
163120,ITA,Gioia.del.Colle
,ITA,Marina.di.Ravenna
162190,ITA,Monte.Terminillo
160640,ITA,Novara-Cameri
160220,ITA,Paganella
164000,ITA,Palermo-Boccadifalco
164700,ITA,Patelleria
sequence item 0: expected string, NoneType found
162800,ITA,Ponza
162450,ITA,Pratica.di.Mare
162390,ITA,Roma-Ciampino
164290,ITA,Trapani-Birgi
160980,ITA,Treviso-Istrana
160990,ITA,Treviso-S.Angelo
164000,ITA,Ustica
160900,ITA,Verona-Villafranca
126500,POL,Kasprowy.Wierch
123450,POL,Kolo
124950,POL,Lublin.Radawiec
122800,POL,Mikolajki
122700,POL,Mlawa
122100,POL,Resko
125800,POL,Rzeszow.Jasionka
125100,POL,Sniezka
124690,POL,Sulejow
125750,POL,Tarnow
124970,POL,Wlodawa
